 Nuclides of the ICRP-07 Collection Decaying by Alpha Eimission

                    Decay          Energy
  Nuclide   T1/2    Mode     #/nt (MeV/nt)
  ----------------------------------------
  Pu-237     45.2 d  ECA      10   0.0002
  Pu-238     87.7 y  A SF     15   5.5802
  Pu-239 2.411E+4 y  A        52   5.2357
  Pu-240     6564 y  A SF      7   5.2434
  Pu-241    14.35 y  B-A      11   0.0001
  Pu-242  3.75E+5 y  A SF      4   4.9738
  Pu-244  8.00E+7 y  A SF      2   4.6513
  Am-237     73.0 m  ECA       1   0.0015
  Am-238       98 m  ECB+A     1   < E-04
  Am-239     11.9 h  ECA       4   0.0005
  Am-240     50.8 h  ECA       3   < E-04
  Am-241    432.2 y  A        23   5.5712
  Am-242m     141 y  ITA      22   0.0238
  Am-243  7.37E+3 y  A        11   5.3583
  Cm-238      2.4 h  ECA       2   0.2537
  Cm-240       27 d  A SF      4   6.3650
  Cm-241     32.8 d  ECA      11   0.0603
  Cm-242    162.8 d  A SF     16   6.2040
  Cm-243     29.1 y  A EC     29   5.8928
  Cm-244    18.10 y  A SF      9   5.8915
  Cm-245   8.5E+3 y  A SF     11   5.4473
  Cm-246  4.76E+3 y  A SF      2   5.4654
  Cm-247  1.56E+7 y  A         7   5.0285
  Cm-248  3.48E+5 y  A SF      4   4.7212
  Cm-250     8300 y  A B-SF    2   0.9283
  Bk-245     4.94 d  ECA      14   0.0074
  Bk-247  1.38E+3 y  A         9   5.7025
  Bk-249      330 d  B-A      10   < E-04
  Cf-244     19.4 m  A         2   7.3195
  Cf-246     35.7 h  A SF      4   6.8526
  Cf-247     3.11 h  ECA       2   0.0022
  Cf-248      334 d  A SF      3   6.3518
  Cf-249      351 y  A SF     30   5.9262
  Cf-250    13.08 y  A SF      4   6.1168
  Cf-251      900 y  A        14   5.8790
  Cf-252    2.645 y  A SF      5   6.0177
  Cf-253    17.81 d  B-A       2   0.0188
  Cf-254     60.5 d  A SF      2   0.0183
  Es-249    102.2 m  ECB+A     2   0.0392
  Es-251       33 h  ECA       5   0.0329
  Es-253    20.47 d  A SF     30   6.7335
  Es-254    275.7 d  A B-SF   19   6.5243
  Es-254m    39.3 h  B-A ECSF 12   0.0208
  Es-255     39.8 d  B-A SF    3   0.5116
  Fm-251     5.30 h  ECB+A    13   0.1251
  Fm-252    25.39 h  A SF      4   7.1448
  Fm-253     3.00 d  ECA      11   0.8351
  Fm-254    3.240 h  A SF      4   7.2956
  Fm-255    20.07 h  A SF     23   7.1292
  Fm-256    157.6 m  A SF      2   0.5686
  Fm-257    100.5 d  A SF      6   6.6128
 ---------------
ICRP-07 collection contains 182 radionuclides that decay by alpha emission.
