 Nuclides of the ICRP-07 Collection Decaying by Beta Minus Emission

                                         --- Energy ---
                     Decay      Yield    Mean  End Point
  Nuclide    T1/2    Mode       (/nt)    (MeV)   (MeV)
  ------------------------------------------------------
  Au-196    6.183 d  ECB-     7.200E-02 0.07802 0.68600
  Au-198  2.69517 d  B-       1.000E+00 0.31222 1.37239
  Au-199    3.139 d  B-       1.000E+00 0.08233 0.45260
  Au-200     48.4 m  B-       1.000E+00 0.72468 2.24000
  Au-200m    18.7 h  B-IT     8.200E-01 0.16906 0.56040
  Au-201       26 m  B-       1.000E+00 0.41762 1.26042
  Au-202     28.8 s  B-       1.000E+00 1.07139 2.95000
  Hg-203   46.612 d  B-       1.000E+00 0.05780 0.49180
  Hg-205      5.2 m  B-       1.000E+00 0.53748 1.53300
  Hg-206     8.15 m  B-       1.000E+00 0.38997 1.30700
  Hg-207      2.9 m  B-       1.000E+00 0.66320 3.47190
  Tl-204     3.78 y  B-EC     9.710E-01 0.24402 0.76370
  Tl-206    4.200 m  B-       1.000E+00 0.53872 1.53350
  Tl-207     4.77 m  B-       1.000E+00 0.49511 1.42700
  Tl-208    3.053 m  B-       1.000E+00 0.55705 1.79626
  Tl-209    2.161 m  B-       1.000E+00 0.65540 1.94378
  Tl-210     1.30 m  B-       1.000E+00 1.18393 4.39400
  Pb-209    3.253 h  B-       1.000E+00 0.19744 0.64440
  Pb-210    22.20 y  B-A      1.000E+00 0.00608 0.06310
  Pb-211     36.1 m  B-       1.000E+00 0.44969 1.37900
  Pb-212    10.64 h  B-       1.000E+00 0.10171 0.57400
  Pb-214     26.8 m  B-       1.000E+00 0.21814 1.02300
  Bi-210    5.013 d  B-A      1.000E+00 0.38890 1.16150
  Bi-211     2.14 m  A B-     2.760E-03 0.17316 0.57500
  Bi-212    60.55 m  B-A      6.406E-01 0.76945 2.24800
  Bi-212n     7.0 m  B-       1.000E+00 0.53514 1.53010
  Bi-213    45.59 m  B-A      9.791E-01 0.43388 1.42200
  Bi-214     19.9 m  B-A      9.998E-01 0.64134 3.27200
  Bi-215      7.6 m  B-       1.000E+00 0.61808 1.91090
  Bi-216     2.17 m  B-       1.000E+00 1.29912 3.54020
  Po-218     3.10 m  A B-     2.000E-04 0.07137 0.25900
  At-218      1.5 s  A B-     1.000E-03 1.09548 2.88300
  At-220     3.71 m  B-A      9.200E-01 1.26260 3.49900
  Rn-223     24.3 m  B-       1.000E+00 0.53867 1.88712
  Fr-220     27.4 s  A B-     3.500E-03 0.38326 1.20900
  Fr-222     14.2 m  B-       1.000E+00 0.62408 2.03200
  Fr-223    22.00 m  B-A      1.000E+00 0.34787 1.14910
  Fr-224     3.33 m  B-       1.000E+00 0.82612 2.83000
  Fr-227     2.47 m  B-       1.000E+00 0.71028 2.38697
  Ra-225     14.9 d  B-       1.000E+00 0.09149 0.35400
  Ra-227     42.2 m  B-       1.000E+00 0.38286 1.29883
  Ra-228     5.75 y  B-       1.000E+00 0.00724 0.03962
  Ra-230       93 m  B-       1.000E+00 0.17948 0.71000
  Ac-226    29.37 h  B-ECA    8.300E-01 0.31247 1.11700
  Ac-227   21.772 y  B-A      9.862E-01 0.00987 0.04480
  Ac-228     6.15 h  B-       1.000E+00 0.37667 2.06924
  Ac-230      122 s  B-       1.000E+00 0.88720 2.94000
  Ac-231      7.5 m  B-       1.000E+00 0.54252 1.87862
  Ac-232      119 s  B-       1.000E+00 0.92884 3.70000
  Ac-233      145 s  B-       1.000E+00 0.82109 2.77000
  Th-231    25.52 h  B-       1.000E+00 0.07689 0.38950
  Th-233     22.3 m  B-       1.000E+00 0.39315 1.24350
  Th-234    24.10 d  B-       1.000E+00 0.04457 0.19497
  Th-235      7.1 m  B-       1.000E+00 0.66476 1.92000
  Th-236     37.5 m  B-       1.000E+00 0.34811 1.11000
  Pa-230     17.4 d  ECB-A    8.400E-02 0.14754 0.51228
  Pa-232     1.31 d  B-EC     1.000E+00 0.09471 1.33700
  Pa-233   26.967 d  B-       1.000E+00 0.06413 0.57210
  Pa-234     6.70 h  B-       1.000E+00 0.18166 1.24720
  Pa-234m    1.17 m  B-IT     9.984E-01 0.81382 2.27300
  Pa-235     24.5 m  B-       1.000E+00 0.47565 1.40696
  Pa-236      9.1 m  B-       1.000E+00 0.71597 2.89940
  Pa-237      8.7 m  B-       1.000E+00 0.56438 2.25000
  U-237      6.75 d  B-       1.000E+00 0.06773 0.45906
  U-239     23.45 m  B-       1.000E+00 0.39464 1.26350
  U-240      14.1 h  B-       1.000E+00 0.09808 0.38000
  U-242      16.8 m  B-       1.000E+00 0.37843 1.20001
  Np-236  1.54E+5 y  ECB-A    1.250E-01 0.04841 0.33260
  Np-236m    22.5 h  ECB-     4.800E-01 0.15649 0.54000
  Np-238    2.117 d  B-       1.000E+00 0.21061 1.24792
  Np-239   2.3565 d  B-       1.000E+00 0.11380 0.71414
  Np-240     61.9 m  B-       1.000E+00 0.31459 1.89369
  Np-240m    7.22 m  B-IT     9.989E-01 0.64503 2.20800
  Np-241     13.9 m  B-       1.000E+00 0.40848 1.30001
  Np-242      2.2 m  B-       1.000E+00 0.89544 2.70000
  Np-242m     5.5 m  B-       1.000E+00 0.53666 1.60790
  Pu-241    14.35 y  B-A      1.000E+00 0.00524 0.02081
  Pu-243    4.956 h  B-       1.000E+00 0.15943 0.58100
  Pu-245     10.5 h  B-       1.000E+00 0.22534 1.15993
  Pu-246    10.84 d  B-       1.000E+00 0.04172 0.37100
  Am-242    16.02 h  B-EC     8.270E-01 0.19239 0.66480
  Am-244     10.1 h  B-       1.000E+00 0.10960 0.38712
  Am-244m      26 m  B-       9.996E-01 0.49800 1.51590
  Am-245     2.05 h  B-       1.000E+00 0.25884 0.89470
  Am-246       39 m  B-       1.000E+00 0.39109 1.19740
  Am-246m    25.0 m  B-       1.000E+00 0.46310 2.40600
  Am-247     23.0 m  B-       1.000E+00 0.46290 1.62000
  Cm-249    64.15 m  B-       1.000E+00 0.27135 0.89220
  Cm-250     8300 y  A B-SF   8.000E-02 0.00966 4.00000
  Cm-251     16.8 m  B-       1.000E+00 0.42161 1.42000
  Bk-248m    23.7 h  B-EC     7.000E-01 0.25233 0.87000
  Bk-249      330 d  B-A      1.000E+00 0.03240 0.12400
  Bk-250    3.212 h  B-       1.000E+00 0.26264 1.78000
  Bk-251     55.6 m  B-       1.000E+00 0.28891 1.09300
  Cf-253    17.81 d  B-A      9.969E-01 0.07233 0.28800
  Cf-255       85 m  B-       1.000E+00 0.21777 0.72000
  Es-254    275.7 d  A B-SF   0.000E+00 0.00000 4.00000
  Es-254m    39.3 h  B-A ECSF 9.800E-01 0.19581 4.00000
  Es-255     39.8 d  B-A SF   9.200E-01 0.07966 4.00000
  Es-256     25.4 m  B-       1.000E+00 0.56934 1.70000
 ---------------
ICRP-07 collection contains 502 radionuclides that decay by beta minus emission.
* Endpoint energy of composite beta minus and beta plus spectrum.
