 Nuclides of the ICRP-07 Collection Decaying by Beta Minus Emission

                                         --- Energy ---
                     Decay      Yield    Mean  End Point
  Nuclide    T1/2    Mode       (/nt)    (MeV)   (MeV)
  ------------------------------------------------------
  Br-80     17.68 m  B-ECB+   9.170E-01 0.78095 2.00100*
  Br-82     35.30 h  B-       1.000E+00 0.14322 2.31608
  Br-82m     6.13 m  ITB-     2.400E-02 1.28708 3.13855
  Br-83      2.40 h  B-       1.000E+00 0.32573 0.96359
  Br-84     31.80 m  B-       1.000E+00 1.23598 4.65500
  Br-84m      6.0 m  B-       1.000E+00 0.89669 2.20340
  Br-85      2.90 m  B-       1.000E+00 1.03838 2.56512
  Kr-85    10.756 y  B-       1.000E+00 0.25067 0.68740
  Kr-85m    4.480 h  B-IT     7.860E-01 0.29021 0.84108
  Kr-87      76.3 m  B-       1.000E+00 1.32720 3.88700
  Kr-88      2.84 h  B-       1.000E+00 0.36306 2.91300
  Kr-89      3.15 m  B-       1.000E+00 1.36661 4.98600
  Rb-84     32.77 d  ECB+B-   3.800E-02 0.33278 1.65890*
  Rb-86    18.642 d  B-EC     9.999E-01 0.66798 1.77420
  Rb-87  4.923E10 y  B-       1.000E+00 0.11540 0.28330
  Rb-88     17.78 m  B-       1.000E+00 2.07185 5.31600
  Rb-89     15.15 m  B-       1.000E+00 0.95213 4.49600
  Rb-90       158 s  B-       1.000E+00 2.04386 6.58700
  Rb-90m      258 s  B-IT     9.740E-01 1.44452 5.86223
  Sr-89     50.53 d  B-       1.000E+00 0.58454 1.49510
  Sr-90     28.79 y  B-       1.000E+00 0.19573 0.54600
  Sr-91      9.63 h  B-       1.000E+00 0.65426 2.70700
  Sr-92      2.66 h  B-       1.000E+00 0.20194 1.94000
  Sr-93     7.423 m  B-       1.000E+00 0.77921 4.13700
  Sr-94      75.3 s  B-       1.000E+00 0.83785 3.50800
  Y-90      64.10 h  B-       1.000E+00 0.93290 2.28010
  Y-90m      3.19 h  ITB-     1.800E-05 0.23195 0.64315
  Y-91      58.51 d  B-       1.000E+00 0.60319 1.54480
  Y-92       3.54 h  B-       1.000E+00 1.44887 3.63900
  Y-93      10.18 h  B-       1.000E+00 1.17162 2.89300
  Y-94       18.7 m  B-       1.000E+00 1.81266 4.92000
  Y-95       10.3 m  B-       1.000E+00 1.42851 4.42000
  Zr-93   1.53E+6 y  B-       1.000E+00 0.01942 0.09140
  Zr-95    64.032 d  B-       1.000E+00 0.11745 1.12480
  Zr-97    16.744 h  B-       1.000E+00 0.70601 1.91495
  Nb-94   2.03E+4 y  B-       1.000E+00 0.16623 0.47168
  Nb-94m    6.263 m  ITB-     5.000E-03 0.44156 1.21509
  Nb-95    34.991 d  B-       1.000E+00 0.04345 0.92560
  Nb-95m     3.61 d  ITB-     5.600E-02 0.39013 1.16129
  Nb-96     23.35 h  B-       1.000E+00 0.24902 0.74849
  Nb-97      72.1 m  B-       1.000E+00 0.46699 1.27583
  Nb-98m     51.3 m  B-       1.000E+00 0.75019 3.15999
  Nb-99      15.0 s  B-       1.000E+00 1.45197 3.40349
  Nb-99m      2.6 m  B-IT     9.800E-01 1.43287 4.00420
  Mo-99     65.94 h  B-       1.000E+00 0.38939 1.21452
  Mo-101    14.61 m  B-       1.000E+00 0.52622 2.61648
  Mo-102     11.3 m  B-       1.000E+00 0.34989 1.01400
  Tc-98    4.2E+6 y  B-       1.000E+00 0.13854 0.39823
  Tc-99  2.111E+5 y  B-       1.000E+00 0.10125 0.29350
  Tc-99m    6.015 h  ITB-     3.700E-05 0.11347 0.43618
  Tc-101     14.2 m  B-       1.000E+00 0.46727 1.30617
  Tc-102     5.28 s  B-       1.000E+00 1.94384 4.52600
  Tc-102m    4.35 m  B-IT     9.800E-01 0.80154 3.44040
  Tc-104     18.3 m  B-       1.000E+00 1.59526 5.24198
  Tc-105      7.6 m  B-       1.000E+00 1.24151 3.64000
  Ru-103    39.26 d  B-       1.000E+00 0.06318 0.76340
  Ru-105     4.44 h  B-       1.000E+00 0.41046 1.91600
  Ru-106   373.59 d  B-       1.000E+00 0.01003 0.03940
  Ru-107     3.75 m  B-       1.000E+00 1.06726 2.94000
  Ru-108     4.55 m  B-       1.000E+00 0.46697 1.35000
  Rh-102      207 d  ECB+B-   2.200E-01 0.39297 1.30100*
  Rh-104     42.3 s  B-EC     9.955E-01 0.98661 2.44100
  Rh-104m    4.34 m  ITB-     1.300E-03 0.28119 1.24638
  Rh-105    35.36 h  B-       1.000E+00 0.15198 0.56620
  Rh-106    29.80 s  B-       1.000E+00 1.41026 3.54100
  Rh-106m     131 m  B-       1.000E+00 0.34195 1.74431
  Rh-107     21.7 m  B-       1.000E+00 0.43522 1.51100
  Rh-108     16.8 s  B-       1.000E+00 1.81883 4.51000
  Rh-109       80 s  B-       1.000E+00 0.91878 2.59100
  Pd-107   6.5E+6 y  B-       1.000E+00 0.00958 0.03410
  Pd-109  13.7012 h  B-       1.000E+00 0.36066 1.02786
  Pd-111     23.4 m  B-       1.000E+00 0.84024 2.15715
  Pd-112    21.03 h  B-       1.000E+00 0.07656 0.26950
  Pd-114     2.42 m  B-       1.000E+00 0.52985 1.45100
  Ag-106    23.96 m  ECB+B-   1.000E-02 0.05355 1.94330*
  Ag-108     2.37 m  B-ECB+   9.715E-01 0.62350 1.64900*
  Ag-110     24.6 s  B-EC     9.970E-01 1.18465 2.89220
  Ag-110m  249.76 d  B-IT     9.864E-01 0.07012 1.46735
  Ag-111     7.45 d  B-       1.000E+00 0.35325 1.03680
  Ag-111m    64.8 s  ITB-     7.000E-03 0.20787 0.85124
  Ag-112    3.130 h  B-       1.000E+00 1.35266 3.95600
  Ag-113     5.37 h  B-       1.000E+00 0.76003 2.01600
  Ag-113m    68.7 s  ITB-     3.600E-01 0.54422 1.74441
  Ag-114      4.6 s  B-       1.000E+00 2.10847 5.07600
  Ag-115     20.0 m  B-       1.000E+00 1.08734 3.10000
  Ag-116     2.68 m  B-       1.000E+00 1.74949 5.64649
  Ag-117     73.6 s  B-       1.000E+00 1.26971 4.16000
  Cd-113  7.7E+15 y  B-       1.000E+00 0.09260 0.32001
  Cd-113m    14.1 y  B-IT     9.986E-01 0.18465 0.58370
  Cd-115    53.46 h  B-       1.000E+00 0.31662 1.10974
  Cd-115m    44.6 d  B-       1.000E+00 0.60442 1.62700
  Cd-117     2.49 h  B-       1.000E+00 0.42814 2.20970
  Cd-117m    3.36 h  B-       1.000E+00 0.22556 2.66140
  Cd-118     50.3 m  B-       1.000E+00 0.16140 0.52000
  Cd-119     2.69 m  B-       1.000E+00 0.81004 3.48593
  Cd-119m    2.20 m  B-       1.000E+00 0.68528 3.22306
  In-112    14.97 m  ECB+B-   4.400E-01 0.21400 1.56400*
  In-114     71.9 s  B-ECB+   9.950E-01 0.77787 1.98870*
  In-115 4.41E+14 y  B-       1.000E+00 0.15257 0.49600
  In-115m   4.486 h  ITB-     5.000E-02 0.27758 0.83124
  In-116m   54.41 m  B-       1.000E+00 0.30843 1.13517
